,,,x,y
,,,-0.001692,-0.0092
,,,-0.00169,-0.0096
,,,-0.001688,-0.01
,,,-0.001686,-0.0096
,,,-0.001684,-0.0092
,,,-0.001682,-0.0092
,,,-0.00168,-0.0084
,,,-0.001678,-0.0088
,,,-0.001676,-0.0096
,,,-0.001674,-0.0088
,,,-0.001672,-0.0092
,,,-0.00167,-0.0092
,,,-0.001668,-0.0088
,,,-0.001666,-0.0088
,,,-0.001664,-0.0088
,,,-0.001662,-0.0096
,,,-0.00166,-0.01
,,,-0.001658,-0.01
,,,-0.001656,-0.0092
,,,-0.001654,-0.0088
,,,-0.001652,-0.0088
,,,-0.00165,-0.0088
,,,-0.001648,-0.0092
,,,-0.001646,-0.01
,,,-0.001644,-0.0096
,,,-0.001642,-0.0096
,,,-0.00164,-0.0092
,,,-0.001638,-0.0088
,,,-0.001636,-0.0088
,,,-0.001634,-0.01
,,,-0.001632,-0.0092
,,,-0.00163,-0.01
,,,-0.001628,-0.0092
,,,-0.001626,-0.0092
,,,-0.001624,-0.0096
,,,-0.001622,-0.0088
,,,-0.00162,-0.0092
,,,-0.001618,-0.0108
,,,-0.001616,-0.01
,,,-0.001614,-0.0104
,,,-0.001612,-0.0092
,,,-0.00161,-0.0092
,,,-0.001608,-0.0096
,,,-0.001606,-0.0096
,,,-0.001604,-0.0096
,,,-0.001602,-0.0104
,,,-0.0016,-0.01
,,,-0.001598,-0.0096
,,,-0.001596,-0.0092
,,,-0.001594,-0.0084
,,,-0.001592,-0.0092
,,,-0.00159,-0.01
,,,-0.001588,-0.0096
,,,-0.001586,-0.01
,,,-0.001584,-0.0092
,,,-0.001582,-0.0092
,,,-0.00158,-0.0092
,,,-0.001578,-0.0088
,,,-0.001576,-0.0104
,,,-0.001574,-0.01
,,,-0.001572,-0.0104
,,,-0.00157,-0.0092
,,,-0.001568,-0.0088
,,,-0.001566,-0.0088
,,,-0.001564,-0.0092
,,,-0.001562,-0.0092
,,,-0.00156,-0.01
,,,-0.001558,-0.01
,,,-0.001556,-0.0096
,,,-0.001554,-0.0096
,,,-0.001552,-0.0088
,,,-0.00155,-0.0088
,,,-0.001548,-0.0096
,,,-0.001546,-0.0092
,,,-0.001544,-0.01
,,,-0.001542,-0.0096
